,Company Name,Status Rocket,Cost in Millions of Dollars,Status Mission,Country of Launch,Companys Country of Origin,Private or State Run,Year,Month,Day,Date,Launch in Country of Company
335,Eurockot,StatusRetired,41.8 ,Success,Russia,Germany,S,2016,2,16,16/02/2016,False
336,VKS RF,StatusActive,48.5 ,Success,Russia,Russia,S,2016,2,7,07/02/2016,True
337,ULA,StatusActive,109.0 ,Success,USA,USA,P,2016,2,5,05/02/2016,True
338,ILS,StatusActive,65.0 ,Success,Kazakhstan,USA,P,2016,1,29,29/01/2016,False
339,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2016,1,27,27/01/2016,False
340,ISRO,StatusActive,31.0 ,Success,India,India,S,2016,1,20,20/01/2016,True
341,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2016,1,17,17/01/2016,True
342,CASIC,StatusActive,29.15 ,Success,China,China,S,2016,1,15,15/01/2016,True
343,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2015,12,22,22/12/2015,True
344,ISRO,StatusActive,21.0 ,Success,India,India,S,2015,12,16,16/12/2015,True
345,ULA,StatusActive,109.0 ,Success,USA,USA,P,2015,12,6,06/12/2015,True
346,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2015,12,3,03/12/2015,False
347,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2015,11,10,10/11/2015,False
348,Sandia,StatusActive,15.0 ,Failure,USA,USA,S,2015,11,4,04/11/2015,True
349,ULA,StatusActive,109.0 ,Success,USA,USA,P,2015,10,31,31/10/2015,True
350,ULA,StatusActive,109.0 ,Success,USA,USA,P,2015,10,8,08/10/2015,True
351,ULA,StatusActive,123.0 ,Success,USA,USA,P,2015,10,2,02/10/2015,True
352,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2015,9,30,30/09/2015,False
353,ISRO,StatusActive,31.0 ,Success,India,India,S,2015,9,28,28/09/2015,True
354,CASIC,StatusActive,5.3 ,Success,China,China,S,2015,9,25,25/09/2015,True
355,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2015,9,23,23/09/2015,True
356,ULA,StatusActive,153.0 ,Success,USA,USA,P,2015,9,2,02/09/2015,True
357,ISRO,StatusActive,47.0 ,Success,India,India,S,2015,8,27,27/08/2015,True
358,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2015,8,20,20/08/2015,False
359,MHI,StatusRetired,112.5 ,Success,Japan,Japan,P,2015,8,19,19/08/2015,True
360,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2015,7,15,15/07/2015,False
361,ULA,StatusActive,109.0 ,Success,USA,USA,P,2015,7,15,15/07/2015,True
362,ISRO,StatusActive,31.0 ,Success,India,India,S,2015,7,10,10/07/2015,True
363,SpaceX,StatusRetired,56.5 ,Failure,USA,USA,P,2015,6,28,28/06/2015,True
364,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2015,6,23,23/06/2015,False
365,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2015,5,27,27/05/2015,False
366,ULA,StatusActive,120.0 ,Success,USA,USA,P,2015,5,20,20/05/2015,True
367,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2015,4,27,27/04/2015,True
368,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2015,4,26,26/04/2015,False
369,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2015,4,15,15/04/2015,True
370,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2015,3,31,31/03/2015,True
371,ISRO,StatusActive,31.0 ,Success,India,India,S,2015,3,28,28/03/2015,True
372,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2015,3,26,26/03/2015,True
373,Kosmotras,StatusRetired,29.0 ,Success,Russia,Russia,S,2015,3,25,25/03/2015,True
374,ULA,StatusRetired,164.0 ,Success,USA,USA,P,2015,3,25,25/03/2015,True
375,ULA,StatusActive,123.0 ,Success,USA,USA,P,2015,3,13,13/03/2015,True
376,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2015,3,2,02/03/2015,True
377,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2015,2,11,11/02/2015,True
378,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2015,2,11,11/02/2015,False
379,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2015,2,1,01/02/2015,True
380,ULA,StatusActive,153.0 ,Success,USA,USA,P,2015,1,21,21/01/2015,True
381,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2015,1,10,10/01/2015,True
382,ISRO,StatusActive,62.0 ,Success,India,India,S,2014,12,18,18/12/2014,True
383,ULA,StatusActive,145.0 ,Success,USA,USA,P,2014,12,13,13/12/2014,True
384,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2014,12,6,06/12/2014,False
385,ULA,StatusActive,350.0 ,Success,USA,USA,P,2014,12,5,05/12/2014,True
386,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2014,12,3,03/12/2014,True
387,Kosmotras,StatusRetired,29.0 ,Success,Russia,Russia,S,2014,11,6,06/11/2014,True
388,ULA,StatusActive,109.0 ,Success,USA,USA,P,2014,10,29,29/10/2014,True
389,Northrop,StatusRetired,80.0 ,Failure,USA,USA,P,2014,10,28,28/10/2014,True
390,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2014,10,16,16/10/2014,False
391,ISRO,StatusActive,31.0 ,Success,India,India,S,2014,10,16,16/10/2014,True
392,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2014,10,7,07/10/2014,True
393,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2014,9,21,21/09/2014,True
394,ULA,StatusActive,109.0 ,Success,USA,USA,P,2014,9,17,17/09/2014,True
395,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2014,9,11,11/09/2014,False
396,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2014,9,7,07/09/2014,True
397,ULA,StatusActive,109.0 ,Success,USA,USA,P,2014,8,13,13/08/2014,True
398,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2014,8,5,05/08/2014,True
399,ULA,StatusActive,109.0 ,Success,USA,USA,P,2014,8,2,02/08/2014,True
400,ULA,StatusRetired,164.0 ,Success,USA,USA,P,2014,7,28,28/07/2014,True
401,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2014,7,14,14/07/2014,True
402,Northrop,StatusRetired,80.0 ,Success,USA,USA,P,2014,7,13,13/07/2014,True
403,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2014,7,3,03/07/2014,True
404,ISRO,StatusActive,21.0 ,Success,India,India,S,2014,6,30,30/06/2014,True
405,Kosmotras,StatusRetired,29.0 ,Success,Russia,Russia,S,2014,6,19,19/06/2014,True
406,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2014,5,24,24/05/2014,True
407,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2014,5,23,23/05/2014,True
408,ULA,StatusActive,109.0 ,Success,USA,USA,P,2014,5,22,22/05/2014,True
409,ULA,StatusRetired,164.0 ,Success,USA,USA,P,2014,5,17,17/05/2014,True
410,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2014,4,30,30/04/2014,False
411,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2014,4,18,18/04/2014,True
412,ULA,StatusActive,145.0 ,Success,USA,USA,P,2014,4,10,10/04/2014,True
413,ISRO,StatusActive,31.0 ,Success,India,India,S,2014,4,4,04/04/2014,True
414,ULA,StatusActive,109.0 ,Success,USA,USA,P,2014,4,3,03/04/2014,True
415,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2014,3,22,22/03/2014,False
416,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2014,2,27,27/02/2014,True
417,ULA,StatusRetired,164.0 ,Success,USA,USA,P,2014,2,21,21/02/2014,True
418,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2014,2,6,06/02/2014,False
419,ULA,StatusActive,109.0 ,Success,USA,USA,P,2014,1,24,24/01/2014,True
420,Northrop,StatusRetired,80.0 ,Success,USA,USA,P,2014,1,9,09/01/2014,True
421,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2014,1,6,06/01/2014,True
422,ISRO,StatusActive,47.0 ,Success,India,India,S,2014,1,5,05/01/2014,True
423,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2013,12,25,25/12/2013,True
424,ULA,StatusActive,120.0 ,Success,USA,USA,P,2013,12,6,06/12/2013,True
425,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2013,12,3,03/12/2013,True
426,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2013,11,22,22/11/2013,True
427,Kosmotras,StatusRetired,29.0 ,Success,Russia,Russia,S,2013,11,21,21/11/2013,True
428,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2013,11,20,20/11/2013,True
429,ULA,StatusActive,109.0 ,Success,USA,USA,P,2013,11,18,18/11/2013,True
430,ISRO,StatusActive,31.0 ,Success,India,India,S,2013,11,5,05/11/2013,True
431,SpaceX,StatusRetired,56.5 ,Success,USA,USA,P,2013,9,29,29/09/2013,True
432,ULA,StatusActive,140.0 ,Success,USA,USA,P,2013,9,18,18/09/2013,True
433,Northrop,StatusRetired,80.0 ,Success,USA,USA,P,2013,9,13,13/09/2013,True
434,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2013,9,11,11/09/2013,True
435,Northrop,StatusActive,55.0 ,Success,USA,USA,P,2013,9,7,07/09/2013,True
436,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2013,8,29,29/08/2013,False
437,ULA,StatusActive,350.0 ,Success,USA,USA,P,2013,8,28,28/08/2013,True
438,Kosmotras,StatusRetired,29.0 ,Success,Russia,Russia,S,2013,8,22,22/08/2013,True
439,MHI,StatusRetired,112.5 ,Success,Japan,Japan,P,2013,8,3,03/08/2013,True
440,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2013,7,25,25/07/2013,False
441,ULA,StatusActive,153.0 ,Success,USA,USA,P,2013,7,19,19/07/2013,True
442,VKS RF,StatusActive,65.0 ,Failure,Kazakhstan,Russia,S,2013,7,2,02/07/2013,False
443,ISRO,StatusActive,31.0 ,Success,India,India,S,2013,7,1,01/07/2013,True
444,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2013,6,28,28/06/2013,True
445,ULA,StatusActive,109.0 ,Success,USA,USA,P,2013,5,15,15/05/2013,True
446,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2013,5,7,07/05/2013,False
447,Northrop,StatusRetired,80.0 ,Success,USA,USA,P,2013,4,21,21/04/2013,True
448,ULA,StatusActive,109.0 ,Success,USA,USA,P,2013,3,19,19/03/2013,True
449,SpaceX,StatusRetired,59.5 ,Success,USA,USA,P,2013,3,1,01/03/2013,True
450,ISRO,StatusActive,21.0 ,Success,India,India,S,2013,2,25,25/02/2013,True
451,ULA,StatusActive,109.0 ,Success,USA,USA,P,2013,2,11,11/02/2013,True
452,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2013,2,7,07/02/2013,False
453,ULA,StatusActive,109.0 ,Success,USA,USA,P,2013,1,31,31/01/2013,True
454,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2013,1,27,27/01/2013,True
455,VKS RF,StatusRetired,41.8 ,Partial Failure,Russia,Russia,S,2013,1,15,15/01/2013,True
456,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2012,12,19,19/12/2012,False
457,ULA,StatusActive,120.0 ,Success,USA,USA,P,2012,12,11,11/12/2012,True
458,Arianespace,StatusActive,80.0 ,Success,France,Multi,P,2012,12,2,02/12/2012,False
459,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2012,11,10,10/11/2012,False
460,SpaceX,StatusRetired,59.5 ,Partial Failure,USA,USA,P,2012,10,8,08/10/2012,True
461,ULA,StatusRetired,164.0 ,Success,USA,USA,P,2012,10,4,04/10/2012,True
462,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2012,9,28,28/09/2012,False
463,ULA,StatusActive,109.0 ,Success,USA,USA,P,2012,9,13,13/09/2012,True
464,ISRO,StatusActive,21.0 ,Success,India,India,S,2012,9,9,09/09/2012,True
465,ULA,StatusActive,109.0 ,Success,USA,USA,P,2012,8,30,30/08/2012,True
466,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2012,8,2,02/08/2012,False
467,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2012,7,28,28/07/2012,True
468,MHI,StatusRetired,112.5 ,Success,Japan,Japan,P,2012,7,21,21/07/2012,True
469,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2012,7,5,05/07/2012,False
470,ULA,StatusActive,350.0 ,Success,USA,USA,P,2012,6,29,29/06/2012,True
471,ULA,StatusActive,109.0 ,Success,USA,USA,P,2012,6,20,20/06/2012,True
472,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2012,6,13,13/06/2012,True
473,SpaceX,StatusRetired,59.5 ,Success,USA,USA,P,2012,5,22,22/05/2012,True
474,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2012,5,17,17/05/2012,True
475,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2012,5,15,15/05/2012,False
476,ULA,StatusActive,140.0 ,Success,USA,USA,P,2012,5,4,04/05/2012,True
477,ISRO,StatusActive,31.0 ,Success,India,India,S,2012,4,26,26/04/2012,True
478,ISRO,StatusActive,31.0 ,Success,India,India,S,2012,4,26,26/04/2012,True
479,ULA,StatusActive,153.0 ,Success,USA,USA,P,2012,2,24,24/02/2012,True
480,ESA,StatusActive,37.0 ,Success,France,Multi,S,2012,2,13,13/02/2012,False
481,Arianespace,StatusActive,80.0 ,Success,France,Multi,P,2011,12,17,17/12/2011,False
482,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2011,12,12,12/12/2011,True
483,ULA,StatusActive,145.0 ,Success,USA,USA,P,2011,11,26,26/11/2011,True
484,ISRO,StatusActive,21.0 ,Success,India,India,S,2011,10,12,12/10/2011,True
485,Northrop,StatusActive,46.0 ,Success,USA,USA,P,2011,9,27,27/09/2011,True
486,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2011,9,23,23/09/2011,True
487,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2011,9,21,21/09/2011,False
488,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2011,9,11,11/09/2011,True
489,Kosmotras,StatusRetired,29.0 ,Success,Russia,Russia,S,2011,8,17,17/08/2011,True
490,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2011,8,6,06/08/2011,False
491,ULA,StatusActive,153.0 ,Success,USA,USA,P,2011,8,5,05/08/2011,True
492,ULA,StatusRetired,164.0 ,Success,USA,USA,P,2011,7,16,16/07/2011,True
493,ISRO,StatusActive,31.0 ,Success,India,India,S,2011,7,15,15/07/2011,True
494,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2011,7,8,08/07/2011,True
495,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2011,6,30,30/06/2011,True
496,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2011,5,20,20/05/2011,False
497,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2011,5,16,16/05/2011,True
498,ULA,StatusActive,109.0 ,Success,USA,USA,P,2011,5,7,07/05/2011,True
499,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2011,4,22,22/04/2011,False
500,ISRO,StatusRetired,25.0 ,Success,India,India,S,2011,4,20,20/04/2011,True
501,ULA,StatusActive,115.0 ,Success,USA,USA,P,2011,4,15,15/04/2011,True
502,ULA,StatusRetired,164.0 ,Success,USA,USA,P,2011,3,11,11/03/2011,True
503,ULA,StatusActive,120.0 ,Success,USA,USA,P,2011,3,5,05/03/2011,True
504,Northrop,StatusActive,45.0 ,Failure,USA,USA,P,2011,3,4,04/03/2011,True
505,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2011,2,24,24/02/2011,True
506,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2011,2,6,06/02/2011,True
507,VKS RF,StatusRetired,41.8 ,Partial Failure,Russia,Russia,S,2011,2,1,01/02/2011,True
508,MHI,StatusRetired,112.5 ,Success,Japan,Japan,P,2011,1,22,22/01/2011,True
509,ULA,StatusActive,350.0 ,Success,USA,USA,P,2011,1,20,20/01/2011,True
510,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2010,12,29,29/12/2010,False
511,ISRO,StatusRetired,47.0 ,Failure,India,India,S,2010,12,25,25/12/2010,True
512,SpaceX,StatusRetired,59.5 ,Success,USA,USA,P,2010,12,8,08/12/2010,True
513,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2010,11,26,26/11/2010,False
514,ULA,StatusActive,350.0 ,Success,USA,USA,P,2010,11,21,21/11/2010,True
515,Northrop,StatusActive,46.0 ,Success,USA,USA,P,2010,11,20,20/11/2010,True
516,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2010,10,28,28/10/2010,False
517,Northrop,StatusActive,46.0 ,Success,USA,USA,P,2010,9,26,26/09/2010,True
518,ULA,StatusActive,120.0 ,Success,USA,USA,P,2010,9,21,21/09/2010,True
519,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2010,9,8,08/09/2010,True
520,ULA,StatusActive,140.0 ,Success,USA,USA,P,2010,8,14,14/08/2010,True
521,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2010,8,4,04/08/2010,False
522,ISRO,StatusActive,21.0 ,Success,India,India,S,2010,7,12,12/07/2010,True
523,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2010,6,26,26/06/2010,False
524,Kosmotras,StatusRetired,29.0 ,Success,Kazakhstan,Russia,S,2010,6,21,21/06/2010,False
525,Kosmotras,StatusRetired,29.0 ,Success,Russia,Russia,S,2010,6,15,15/06/2010,True
526,SpaceX,StatusRetired,59.5 ,Success,USA,USA,P,2010,6,4,04/06/2010,True
527,Eurockot,StatusRetired,41.8 ,Success,Russia,Germany,S,2010,6,2,02/06/2010,False
528,ULA,StatusRetired,164.0 ,Success,USA,USA,P,2010,5,28,28/05/2010,True
529,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2010,5,21,21/05/2010,False
530,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2010,5,14,14/05/2010,True
531,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2010,5,10,10/05/2010,True
532,ULA,StatusActive,120.0 ,Success,USA,USA,P,2010,4,22,22/04/2010,True
533,ISRO,StatusActive,47.0 ,Failure,India,India,S,2010,4,15,15/04/2010,True
534,Kosmotras,StatusRetired,29.0 ,Success,Kazakhstan,Russia,S,2010,4,8,08/04/2010,False
535,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2010,4,5,05/04/2010,True
536,ULA,StatusRetired,164.0 ,Success,USA,USA,P,2010,3,4,04/03/2010,True
537,ULA,StatusActive,109.0 ,Success,USA,USA,P,2010,2,11,11/02/2010,True
538,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2010,2,8,08/02/2010,True
539,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2009,11,28,28/11/2009,True
540,ULA,StatusActive,130.0 ,Success,USA,USA,P,2009,11,23,23/11/2009,True
541,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2009,11,16,16/11/2009,True
542,Eurockot,StatusRetired,41.8 ,Success,Russia,Germany,S,2009,11,2,02/11/2009,False
543,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2009,10,29,29/10/2009,False
544,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2009,10,28,28/10/2009,True
545,ULA,StatusActive,109.0 ,Success,USA,USA,P,2009,10,18,18/10/2009,True
546,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2009,10,1,01/10/2009,False
547,ISRO,StatusActive,21.0 ,Success,India,India,S,2009,9,23,23/09/2009,True
548,MHI,StatusRetired,112.5 ,Success,Japan,Japan,P,2009,9,10,10/09/2009,True
549,ULA,StatusActive,109.0 ,Success,USA,USA,P,2009,9,8,08/09/2009,True
550,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2009,8,28,28/08/2009,True
551,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2009,8,21,21/08/2009,False
552,Kosmotras,StatusRetired,29.0 ,Success,Kazakhstan,Russia,S,2009,7,29,29/07/2009,False
553,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2009,7,15,15/07/2009,True
554,SpaceX,StatusRetired,7.0 ,Success,USA,USA,P,2009,7,14,14/07/2009,True
555,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2009,7,6,06/07/2009,True
556,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2009,7,1,01/07/2009,False
557,ULA,StatusRetired,164.0 ,Success,USA,USA,P,2009,6,27,27/06/2009,True
558,ULA,StatusActive,123.0 ,Success,USA,USA,P,2009,6,18,18/06/2009,True
559,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2009,5,19,19/05/2009,True
560,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2009,5,14,14/05/2009,False
561,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2009,5,11,11/05/2009,True
562,ISRO,StatusActive,21.0 ,Success,India,India,S,2009,4,20,20/04/2009,True
563,ULA,StatusActive,123.0 ,Success,USA,USA,P,2009,4,4,04/04/2009,True
564,Eurockot,StatusRetired,41.8 ,Success,Russia,Germany,S,2009,3,17,17/03/2009,False
565,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2009,3,15,15/03/2009,True
566,Northrop,StatusActive,45.0 ,Failure,USA,USA,P,2009,2,24,24/02/2009,True
567,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2009,2,12,12/02/2009,False
568,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2009,1,23,23/01/2009,True
569,ULA,StatusActive,350.0 ,Success,USA,USA,P,2009,1,18,18/01/2009,True
570,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2008,12,20,20/12/2008,False
571,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2008,11,15,15/11/2008,True
572,CASIC,StatusActive,29.75 ,Success,China,China,S,2008,11,5,05/11/2008,True
573,CASIC,StatusActive,29.75 ,Success,China,China,S,2008,11,5,05/11/2008,True
574,CASIC,StatusActive,29.15 ,Success,China,China,S,2008,10,29,29/10/2008,True
575,CASIC,StatusActive,64.68 ,Success,China,China,S,2008,10,25,25/10/2008,True
576,ISRO,StatusActive,31.0 ,Success,India,India,S,2008,10,22,22/10/2008,True
577,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2008,10,19,19/10/2008,True
578,Kosmotras,StatusRetired,29.0 ,Success,Russia,Russia,S,2008,10,1,01/10/2008,True
579,SpaceX,StatusRetired,7.0 ,Success,USA,USA,P,2008,9,28,28/09/2008,True
580,Kosmotras,StatusRetired,29.0 ,Success,Kazakhstan,Russia,S,2008,8,29,29/08/2008,False
581,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2008,8,14,14/08/2008,False
582,SpaceX,StatusRetired,7.0 ,Failure,USA,USA,P,2008,8,3,03/08/2008,True
583,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2008,7,7,07/07/2008,False
584,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2008,6,12,12/06/2008,False
585,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2008,5,31,31/05/2008,True
586,CASIC,StatusActive,64.68 ,Success,China,China,S,2008,5,27,27/05/2008,True
587,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2008,5,23,23/05/2008,True
588,ISRO,StatusActive,21.0 ,Success,India,India,S,2008,4,28,28/04/2008,True
589,CASIC,StatusActive,20.14 ,Success,China,China,S,2008,4,25,25/04/2008,True
590,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2008,4,18,18/04/2008,False
591,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2008,4,15,15/04/2008,True
592,ULA,StatusActive,123.0 ,Success,USA,USA,P,2008,4,14,14/04/2008,True
593,ULA,StatusActive,115.0 ,Success,USA,USA,P,2008,3,13,13/03/2008,True
594,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2008,3,11,11/03/2008,True
595,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2008,2,23,23/02/2008,True
596,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2008,2,7,07/02/2008,True
597,ISRO,StatusActive,21.0 ,Success,India,India,S,2008,1,21,21/01/2008,True
598,ULA,StatusActive,109.0 ,Success,USA,USA,P,2007,12,10,10/12/2007,True
599,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2007,11,14,14/11/2007,False
600,CASIC,StatusActive,64.68 ,Success,China,China,S,2007,11,11,11/11/2007,True
601,ULA,StatusActive,350.0 ,Success,USA,USA,P,2007,11,11,11/11/2007,True
602,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2007,10,23,23/10/2007,True
603,ULA,StatusActive,123.0 ,Success,USA,USA,P,2007,10,11,11/10/2007,True
604,CASIC,StatusActive,64.68 ,Success,China,China,S,2007,9,19,19/09/2007,True
605,ISRO,StatusRetired,47.0 ,Partial Failure,India,India,S,2007,9,2,02/09/2007,True
606,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2007,8,14,14/08/2007,False
607,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2007,8,8,08/08/2007,True
608,Kosmotras,StatusRetired,29.0 ,Success,Russia,Russia,S,2007,6,28,28/06/2007,True
609,ULA,StatusActive,109.0 ,Partial Failure,USA,USA,P,2007,6,15,15/06/2007,True
610,Kosmotras,StatusRetired,29.0 ,Success,Kazakhstan,Russia,S,2007,6,15,15/06/2007,False
611,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2007,6,8,08/06/2007,True
612,CASIC,StatusActive,69.7 ,Success,China,China,S,2007,5,31,31/05/2007,True
613,CASIC,StatusActive,29.75 ,Success,China,China,S,2007,5,25,25/05/2007,True
614,CASIC,StatusActive,29.15 ,Success,China,China,S,2007,5,13,13/05/2007,True
615,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2007,5,4,04/05/2007,False
616,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2007,4,25,25/04/2007,True
617,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2007,4,24,24/04/2007,True
618,ISRO,StatusActive,21.0 ,Success,India,India,S,2007,4,23,23/04/2007,True
619,Kosmotras,StatusRetired,29.0 ,Success,Kazakhstan,Russia,S,2007,4,17,17/04/2007,False
620,CASIC,StatusActive,69.7 ,Success,China,China,S,2007,4,13,13/04/2007,True
621,CASIC,StatusActive,30.8 ,Success,China,China,S,2007,4,11,11/04/2007,True
622,SpaceX,StatusRetired,7.0 ,Failure,USA,USA,P,2007,3,21,21/03/2007,True
623,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2007,3,11,11/03/2007,False
624,ULA,StatusActive,109.0 ,Success,USA,USA,P,2007,3,9,09/03/2007,True
625,CASIC,StatusActive,69.7 ,Success,China,China,S,2007,2,2,02/02/2007,True
626,ISRO,StatusRetired,25.0 ,Success,India,India,S,2007,1,10,10/01/2007,True
627,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2006,12,16,16/12/2006,True
628,NASA,StatusRetired,450.0 ,Success,USA,USA,S,2006,12,10,10/12/2006,True
629,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2006,12,8,08/12/2006,False
630,CASIC,StatusActive,69.7 ,Success,China,China,S,2006,12,8,08/12/2006,True
631,Boeing,StatusRetired,133.0 ,Success,USA,USA,P,2006,11,4,04/11/2006,True
632,CASIC,StatusActive,64.68 ,Success,China,China,S,2006,10,23,23/10/2006,True
