,Company Name,Status Rocket,Cost in Millions of Dollars,Status Mission,Country of Launch,Companys Country of Origin,Private or State Run,Year,Month,Day,Date,Launch in Country of Company
181,CASIC,StatusActive,5.3 ,Success,China,China,S,2018,4,26,26/04/2018,True
182,Eurockot,StatusRetired,41.8 ,Success,Russia,Germany,S,2018,4,25,25/04/2018,False
183,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2018,4,18,18/04/2018,True
184,VKS RF,StatusActive,65.0 ,Success,Kazakhstan,Russia,S,2018,4,18,18/04/2018,False
185,ULA,StatusActive,153.0 ,Success,USA,USA,P,2018,4,14,14/04/2018,True
186,ISRO,StatusActive,31.0 ,Success,India,India,S,2018,4,11,11/04/2018,True
187,CASIC,StatusActive,64.68 ,Success,China,China,S,2018,4,10,10/04/2018,True
188,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2018,4,5,05/04/2018,False
189,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2018,4,2,02/04/2018,True
190,CASIC,StatusActive,64.68 ,Success,China,China,S,2018,3,31,31/03/2018,True
191,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2018,3,30,30/03/2018,True
192,ISRO,StatusActive,47.0 ,Success,India,India,S,2018,3,29,29/03/2018,True
193,CASIC,StatusActive,29.75 ,Success,China,China,S,2018,3,17,17/03/2018,True
194,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2018,3,6,06/03/2018,True
195,ULA,StatusActive,145.0 ,Success,USA,USA,P,2018,3,1,01/03/2018,True
196,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2018,2,27,27/02/2018,True
197,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2018,2,22,22/02/2018,True
198,Roscosmos,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2018,2,13,13/02/2018,False
199,SpaceX,StatusActive,90.0 ,Success,USA,USA,P,2018,2,6,06/02/2018,True
200,CASIC,StatusActive,29.75 ,Success,China,China,S,2018,2,2,02/02/2018,True
201,Roscosmos,StatusActive,48.5 ,Success,Russia,Russia,S,2018,2,1,01/02/2018,True
202,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2018,1,31,31/01/2018,True
203,Arianespace,StatusActive,200.0 ,Partial Failure,France,Multi,P,2018,1,25,25/01/2018,False
204,CASIC,StatusActive,30.8 ,Success,China,China,S,2018,1,25,25/01/2018,True
205,Rocket Lab,StatusActive,7.5 ,Success,New Zealand,USA,P,2018,1,21,21/01/2018,False
206,ULA,StatusActive,115.0 ,Success,USA,USA,P,2018,1,20,20/01/2018,True
207,CASIC,StatusActive,5.3 ,Success,China,China,S,2018,1,19,19/01/2018,True
208,JAXA,StatusActive,39.0 ,Success,Japan,Japan,S,2018,1,17,17/01/2018,True
209,CASIC,StatusActive,29.75 ,Success,China,China,S,2018,1,13,13/01/2018,True
210,ISRO,StatusActive,31.0 ,Success,India,India,S,2018,1,12,12/01/2018,True
211,CASIC,StatusActive,29.75 ,Success,China,China,S,2018,1,9,09/01/2018,True
212,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2018,1,8,08/01/2018,True
213,CASIC,StatusActive,30.8 ,Success,China,China,S,2017,12,25,25/12/2017,True
214,CASIC,StatusActive,29.75 ,Success,China,China,S,2017,12,23,23/12/2017,True
215,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,12,23,23/12/2017,True
216,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2017,12,23,23/12/2017,True
217,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,12,15,15/12/2017,True
218,CASIC,StatusActive,29.15 ,Success,China,China,S,2017,12,10,10/12/2017,True
219,CASIC,StatusActive,29.75 ,Success,China,China,S,2017,12,3,03/12/2017,True
220,VKS RF,StatusActive,35.0 ,Success,Russia,Russia,S,2017,12,2,02/12/2017,True
221,CASIC,StatusActive,30.8 ,Success,China,China,S,2017,11,24,24/11/2017,True
222,CASIC,StatusActive,64.68 ,Success,China,China,S,2017,11,14,14/11/2017,True
223,Northrop,StatusRetired,85.0 ,Success,USA,USA,P,2017,11,12,12/11/2017,True
224,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2017,11,8,08/11/2017,False
225,Northrop,StatusActive,45.0 ,Success,USA,USA,P,2017,10,31,31/10/2017,True
226,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,10,30,30/10/2017,True
227,ULA,StatusActive,123.0 ,Success,USA,USA,P,2017,10,15,15/10/2017,True
228,Roscosmos,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2017,10,14,14/10/2017,False
229,Eurockot,StatusRetired,41.8 ,Success,Russia,Germany,S,2017,10,13,13/10/2017,False
230,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,10,11,11/10/2017,True
231,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2017,10,9,09/10/2017,True
232,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,10,9,09/10/2017,True
233,CASIC,StatusActive,29.75 ,Success,China,China,S,2017,10,9,09/10/2017,True
234,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2017,9,29,29/09/2017,False
235,CASIC,StatusActive,30.8 ,Success,China,China,S,2017,9,29,29/09/2017,True
236,VKS RF,StatusActive,65.0 ,Success,Kazakhstan,Russia,S,2017,9,28,28/09/2017,False
237,ULA,StatusActive,145.0 ,Success,USA,USA,P,2017,9,24,24/09/2017,True
238,ILS,StatusActive,65.0 ,Success,Kazakhstan,USA,P,2017,9,11,11/09/2017,False
239,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,9,7,07/09/2017,True
240,ISRO,StatusActive,31.0 ,Failure,India,India,S,2017,8,31,31/08/2017,True
241,Northrop,StatusActive,46.0 ,Success,USA,USA,P,2017,8,25,25/08/2017,True
242,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,8,24,24/08/2017,True
243,ULA,StatusActive,109.0 ,Success,USA,USA,P,2017,8,18,18/08/2017,True
244,VKS RF,StatusActive,65.0 ,Success,Kazakhstan,Russia,S,2017,8,16,16/08/2017,False
245,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,8,14,14/08/2017,True
246,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2017,8,2,02/08/2017,False
247,Roscosmos,StatusActive,48.5 ,Partial Failure,Kazakhstan,Russia,S,2017,7,14,14/07/2017,False
248,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,7,5,05/07/2017,True
249,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2017,6,28,28/06/2017,False
250,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,6,25,25/06/2017,True
251,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,6,23,23/06/2017,True
252,ISRO,StatusActive,31.0 ,Success,India,India,S,2017,6,23,23/06/2017,True
253,CASIC,StatusActive,29.15 ,Partial Failure,China,China,S,2017,6,18,18/06/2017,True
254,CASIC,StatusActive,64.68 ,Success,China,China,S,2017,6,15,15/06/2017,True
255,Roscosmos,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2017,6,14,14/06/2017,False
256,ILS,StatusActive,65.0 ,Success,Kazakhstan,USA,P,2017,6,8,08/06/2017,False
257,ISRO,StatusActive,62.0 ,Success,India,India,S,2017,6,5,05/06/2017,True
258,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,6,3,03/06/2017,True
259,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2017,6,1,01/06/2017,False
260,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2017,6,1,01/06/2017,True
261,Rocket Lab,StatusActive,7.5 ,Failure,New Zealand,USA,P,2017,5,25,25/05/2017,False
262,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,5,15,15/05/2017,True
263,ISRO,StatusActive,47.0 ,Success,India,India,S,2017,5,5,05/05/2017,True
264,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2017,5,4,04/05/2017,False
265,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,5,1,01/05/2017,True
266,ULA,StatusActive,109.0 ,Success,USA,USA,P,2017,4,18,18/04/2017,True
267,CASIC,StatusActive,29.15 ,Success,China,China,S,2017,4,12,12/04/2017,True
268,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,3,30,30/03/2017,True
269,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2017,3,17,17/03/2017,True
270,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,3,16,16/03/2017,True
271,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2017,3,7,07/03/2017,False
272,ULA,StatusActive,109.0 ,Success,USA,USA,P,2017,3,1,01/03/2017,True
273,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,2,19,19/02/2017,True
274,ISRO,StatusActive,31.0 ,Success,India,India,S,2017,2,15,15/02/2017,True
275,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2017,2,14,14/02/2017,False
276,ULA,StatusActive,109.0 ,Success,USA,USA,P,2017,1,21,21/01/2017,True
277,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2017,1,14,14/01/2017,True
278,CASIC,StatusActive,29.15 ,Success,China,China,S,2017,1,5,05/01/2017,True
279,CASIC,StatusActive,29.75 ,Partial Failure,China,China,S,2016,12,28,28/12/2016,True
280,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2016,12,21,21/12/2016,False
281,CASIC,StatusActive,29.75 ,Success,China,China,S,2016,12,21,21/12/2016,True
282,ULA,StatusActive,130.0 ,Success,USA,USA,P,2016,12,18,18/12/2016,True
283,Northrop,StatusActive,40.0 ,Success,USA,USA,P,2016,12,15,15/12/2016,True
284,CASIC,StatusActive,29.15 ,Success,China,China,S,2016,12,10,10/12/2016,True
285,MHI,StatusRetired,112.5 ,Success,Japan,Japan,P,2016,12,9,09/12/2016,True
286,ISRO,StatusActive,31.0 ,Success,India,India,S,2016,12,7,07/12/2016,True
287,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2016,12,5,05/12/2016,False
288,ULA,StatusActive,145.0 ,Success,USA,USA,P,2016,11,19,19/11/2016,True
289,CASIC,StatusActive,29.75 ,Success,China,China,S,2016,11,11,11/11/2016,True
290,ULA,StatusActive,109.0 ,Success,USA,USA,P,2016,11,11,11/11/2016,True
291,CASIC,StatusActive,5.3 ,Success,China,China,S,2016,11,9,09/11/2016,True
292,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2016,11,2,02/11/2016,True
293,Northrop,StatusRetired,85.0 ,Success,USA,USA,P,2016,10,17,17/10/2016,True
294,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2016,10,5,05/10/2016,False
295,ISRO,StatusRetired,25.0 ,Success,India,India,S,2016,9,26,26/09/2016,True
296,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2016,9,16,16/09/2016,False
297,ULA,StatusActive,115.0 ,Success,USA,USA,P,2016,9,8,08/09/2016,True
298,ISRO,StatusActive,47.0 ,Success,India,India,S,2016,9,8,08/09/2016,True
299,SpaceX,StatusRetired,62.0 ,Prelaunch Failure,USA,USA,P,2016,9,1,01/09/2016,True
300,CASIC,StatusActive,64.68 ,Failure,China,China,S,2016,8,31,31/08/2016,True
301,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2016,8,24,24/08/2016,False
302,ULA,StatusRetired,164.0 ,Success,USA,USA,P,2016,8,19,19/08/2016,True
303,CASIC,StatusActive,29.75 ,Success,China,China,S,2016,8,15,15/08/2016,True
304,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2016,8,14,14/08/2016,True
305,CASIC,StatusActive,64.68 ,Success,China,China,S,2016,8,9,09/08/2016,True
306,CASIC,StatusActive,29.15 ,Success,China,China,S,2016,8,5,05/08/2016,True
307,ULA,StatusActive,123.0 ,Success,USA,USA,P,2016,7,28,28/07/2016,True
308,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2016,7,18,18/07/2016,True
309,CASIC,StatusActive,64.68 ,Success,China,China,S,2016,6,29,29/06/2016,True
310,ULA,StatusActive,153.0 ,Success,USA,USA,P,2016,6,24,24/06/2016,True
311,ISRO,StatusActive,31.0 ,Success,India,India,S,2016,6,22,22/06/2016,True
312,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2016,6,18,18/06/2016,False
313,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2016,6,15,15/06/2016,True
314,ULA,StatusActive,350.0 ,Success,USA,USA,P,2016,6,11,11/06/2016,True
315,ILS,StatusActive,65.0 ,Success,Kazakhstan,USA,P,2016,6,9,09/06/2016,False
316,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2016,6,4,04/06/2016,True
317,CASIC,StatusActive,64.68 ,Success,China,China,S,2016,5,30,30/05/2016,True
318,VKS RF,StatusActive,48.5 ,Success,Russia,Russia,S,2016,5,29,29/05/2016,True
319,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2016,5,27,27/05/2016,True
320,CASIC,StatusActive,29.75 ,Success,China,China,S,2016,5,15,15/05/2016,True
321,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2016,5,6,06/05/2016,True
322,ISRO,StatusActive,31.0 ,Success,India,India,S,2016,4,28,28/04/2016,True
323,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2016,4,8,08/04/2016,True
324,CASIC,StatusActive,29.75 ,Success,China,China,S,2016,4,5,05/04/2016,True
